Date,Time,Process,Head,Last Hour,Avg Last Hour,Value,Diff,Barcode
2024_08_13,16:55:12,Oil Up duration,1,16:00,5.8011,5.772, 0.0291,24810013620203
2024_08_13,16:55:12,Oil Up duration,1,16:00,5.8011,5.772, 0.0291,24810013620203
2024_08_13,16:55:19,Oil Up duration,2,16:00,6.4362,6.465, 0.0288,24810013640203
2024_08_13,17:08:49,Oil Up duration,1,16:00,5.8011,5.780, 0.0211,24809103690203
2024_08_13,17:08:49,Oil Up duration,1,16:00,5.8011,5.780, 0.0211,24809103690203
2024_08_13,17:08:42,Oil Up duration,2,16:00,6.4362,6.487, 0.0508,24809103600202
2024_08_13,17:13:41,Oil Up duration,1,16:00,5.8011,6.017, 0.2159,24809103280203
2024_08_13,17:13:41,Oil Up duration,1,16:00,5.8011,6.017, 0.2159,24809103280203
2024_08_13,17:13:50,Oil Up duration,2,16:00,6.4362,6.407, 0.0292,24809103270203
