Date,Time,Process,Head,Last Hour,Avg Last Hour,Value,Diff,Barcode
2024_08_13,16:55:19,Oil Low duration,1,16:00,4.7000,4.691, 0.0090,24810013640203
2024_08_13,16:55:19,Oil Low duration,1,16:00,4.7000,4.691, 0.0090,24810013640203
2024_08_13,16:55:12,Oil Low duration,2,16:00,4.4060,4.404, 0.0020,24810013620203
2024_08_13,17:08:42,Oil Low duration,1,16:00,4.7000,4.691, 0.0090,24809103600202
2024_08_13,17:08:42,Oil Low duration,1,16:00,4.7000,4.691, 0.0090,24809103600202
2024_08_13,17:08:49,Oil Low duration,2,16:00,4.4060,4.400, 0.0060,24809103690203
2024_08_13,17:13:50,Oil Low duration,1,16:00,4.7000,4.693, 0.0070,24809103270203
2024_08_13,17:13:50,Oil Low duration,1,16:00,4.7000,4.693, 0.0070,24809103270203
2024_08_13,17:13:41,Oil Low duration,2,16:00,4.4060,4.403, 0.0030,24809103280203
