$C$ FCC auto line data save
$C$ Version 1,2,7M UDP
$C$ Modify Time interval calculation
$H1$ Machine_ID;Barcode;Date;Time;Load cone tray number;Load cone tray position;Oil-Lub Amount;Oil-Lub Visual check;Axial Play Press Number;Axial Play;IPA-Flush Duration;IPA-Flush Visual Check;Galling Dent Visual Check;INT number;INT Cone Duration;INT Cone Visual Check;Oil Up number;Oil Up Amount;Oil Up duration;Oil Up Visual Check;Endcap Up tray number;Endcap Up tray position;Oil Low number;Oil Low Amount;Oil Low duration;Oil Low Visual Check;Endcap Low tray number;Endcap Low tray position;Unload Cycle Time;Failure Code;NG Carrier;Time interval
$H2$ Units;;;;;;mg;;;um;sec;;;;sec;;;mg;sec;;;;;mg;sec;;;;sec;;;sec
$H3$ Spec min;;;;1;1;0.6;;1;12;;;;1;;;1;7.74;;;1;1;1;7.74;;;1;1;;;
3;24X22229140101;2024-10-24;07:32:20;1;104;.47;2;1;13.6;1.50;2;2;1;1.00;2;1;8.14;4.584;3;1;6;2;8.13;4.697;3;1;2;7.27;;C88;6.5
3;24X22229270101;2024-10-24;07:32:27;1;106;.47;2;3;13.3;1.50;2;2;2;1.20;2;2;8.16;3.637;3;1;7;1;8.10;5.154;3;1;3;6.48;;C87;6.4
3;24X22229280101;2024-10-24;07:32:35;1;107;.46;2;2;13.9;1.50;2;2;1;1.00;2;1;8.14;4.616;3;1;8;2;8.12;4.698;3;1;4;6.39;;C86;7.8
3;24X22229310101;2024-10-24;07:32:41;1;108;.46;2;1;13.5;1.50;2;2;2;1.20;2;2;8.15;3.639;3;1;9;1;8.11;5.154;3;1;5;7.87;;C85;6.5
3;24X22229290101;2024-10-24;07:32:47;1;109;.47;2;3;14.5;1.50;2;2;1;1.00;2;1;8.14;4.594;3;1;10;2;8.12;4.700;3;1;6;6.44;;C84;6.3
3;24X22229260101;2024-10-24;07:32:56;1;110;.45;2;2;14.2;1.50;2;2;2;1.20;2;2;8.16;3.634;3;1;11;1;8.11;5.161;3;1;7;6.35;;C83;8.2
3;24X22229250101;2024-10-24;07:33:02;1;112;.47;2;1;13.3;1.50;2;2;1;1.00;2;1;8.13;4.607;3;1;12;2;8.13;4.667;3;1;8;8.19;;C82;6.2
3;24X22229470101;2024-10-24;07:33:08;1;113;.45;2;3;14.4;1.50;2;2;2;1.20;2;2;8.14;3.633;3;1;13;1;8.11;5.152;3;1;9;6.23;;C81;6.5
3;24X22229480101;2024-10-24;07:33:16;1;115;.47;2;2;13.7;1.50;2;2;1;1.00;2;1;8.14;4.611;3;1;14;2;8.12;4.702;3;1;10;6.55;;C80;7.5
3;24X22229350101;2024-10-24;07:33:23;1;116;.46;2;1;13.9;1.50;2;2;2;1.20;2;2;8.15;3.639;3;1;15;1;8.11;5.154;3;1;11;7.46;;C123;6.8
3;24X22229430101;2024-10-24;07:33:29;1;117;.45;2;3;14.5;1.50;2;2;1;1.00;2;1;8.14;4.622;3;1;16;2;8.13;4.702;3;1;12;6.78;;C78;6.4
3;24X22229300101;2024-10-24;07:33:36;1;118;.46;2;2;13.8;1.50;2;2;2;1.20;2;2;8.14;3.638;3;1;17;1;8.11;5.157;3;1;13;6.43;;C77;7.1
3;24X22229460101;2024-10-24;07:33:43;1;119;.48;2;1;14.1;1.50;2;2;1;1.00;2;1;8.14;4.617;3;1;18;2;8.13;4.677;3;1;14;7.10;;C76;6.4
3;24X22229440101;2024-10-24;07:33:49;1;120;.45;2;3;13.9;1.50;2;2;2;1.20;2;2;8.15;3.634;3;1;19;1;8.11;5.158;3;1;15;6.44;;C75;6.5
3;24X22229360101;2024-10-24;07:33:57;1;121;.45;2;2;13.6;1.50;2;2;1;1.00;2;1;8.13;4.618;3;1;20;2;8.13;4.683;3;1;16;6.45;;C74;7.6
3;24X22229330101;2024-10-24;07:34:03;1;122;.45;2;1;13.5;1.50;2;2;2;1.20;2;2;8.14;3.633;3;1;21;1;8.11;5.160;3;1;17;7.63;;C73;6.4
3;24X22229340101;2024-10-24;07:34:09;1;123;.46;2;3;14.4;1.50;2;2;1;1.00;2;1;8.14;4.621;3;1;22;2;8.12;4.656;3;1;18;6.43;;C71;6.3
