Date,Time,Process,Head,Last Hour,Avg Last Hour,Oil Low Duration,Diff,Barcode
2024_07_16,08:32:33,Oil Low duration,1,7:00,5.415064220183486,5.408,0.0070642201834854035,24716053490202
2024_07_16,08:34:30,Oil Low duration,1,7:00,5.415064220183486,5.410,0.005064220183485624,24716053430203
2024_07_16,08:35:36,Oil Low duration,1,7:00,5.415064220183486,5.406,0.009064220183486071,24716053690202
2024_07_16,08:36:43,Oil Low duration,1,7:00,5.415064220183486,5.393,0.022064220183485972,24716053560202
2024_07_16,08:38:30,Oil Low duration,1,7:00,5.415064220183486,5.399,0.016064220183485745,24716052370203
2024_07_16,08:39:37,Oil Low duration,1,7:00,5.415064220183486,5.407,0.008064220183485737,24716052730202
2024_07_16,08:40:31,Oil Low duration,1,7:00,5.415064220183486,5.397,0.018064220183485524,24716052710202
2024_07_16,08:41:39,Oil Low duration,1,7:00,5.415064220183486,5.412,0.003064220183485844,24716052630202
2024_07_16,08:42:34,Oil Low duration,1,7:00,5.415064220183486,5.414,0.0010642201834860643,24716053590202
